Filename,TextGridLabel,NormalizedDuration,F1_midpoint,F2_midpoint,f0_midpoint,Vowel,Stress,Repetition,Word,Segment,Frame,Syllnum,Intensity
M1A24,u2,0.035086615036774176,320.7393563,965.8594874,111.2832543,u,N,1,katukus,O,1,three,69.50337031
M1A24,U3,0.07427472417730022,440.9672146,1099.985451,109.2957357,u,Y,1,katukus,O,1,three,76.02158615
M1A24,a4,0.02949751838981367,462.9830505,1245.511977,NA,a,N,1,katukus,O,2,three,71.84429845
M1A24,u5,0.039404739212416336,393.2803257,965.5643939,98.61919485,u,N,1,katukus,O,2,three,70.27051861
M1A24,U6,0.09249925004085303,445.6705145,1363.032754,194.9614188,u,Y,1,katukus,O,2,three,79.04295362
M1A25,e1,0.05851506666106112,391.2162573,1663.080007,102.0287828,e,N,1,degutas,O,1,three,74.89094228
M1A25,U2,0.06351276654480781,376.3784409,1118.173888,161.5119916,u,Y,1,degutas,O,1,three,78.1802943
M1A25,a3,0.06162475786636529,458.3944741,1186.385325,NA,a,N,1,degutas,O,1,three,64.79580958
M1A25,e4,0.08090476384461448,400.6509425,1466.811888,90.00568979,e,N,1,degutas,O,2,three,70.40997061
M1A25,U5,0.08325458680180514,398.66694,1275.066644,196.0501095,u,Y,1,degutas,O,2,three,79.14285603
M1A25,a6,0.09978452334174404,471.8773396,1227.781152,90.16109237,a,N,1,degutas,O,2,three,72.21963387
M1A26,a0,0.040549826716601886,465.4473267,1390.303815,104.484902,a,N,1,palikimus,R,1,four,74.2891971
M1A26,i10,0.05597922966930225,329.4654463,1967.980698,102.3117167,i,N,1,palikimus,R,1,four,72.45652059
M1A26,i20,0.034873011278654005,404.2985223,1381.601036,113.6102655,i,N,1,palikimus,R,1,four,72.5802592
M1A26,U30,0.09597667168111909,411.7353616,953.8298918,115.0823076,u,Y,1,palikimus,R,1,four,72.97169851
M1A26,a00,0.022118766859502908,471.0593353,1324.857235,NA,a,N,1,palikimus,R,2,four,70.15958546
M1A26,i40,0.06147186702948361,347.5771613,1888.851333,97.43739952,i,N,1,palikimus,R,2,four,70.97323586
M1A26,i50,0.030395257047790177,428.5339351,1710.580622,103.9307923,i,N,1,palikimus,R,2,four,71.23926617
M1A26,U6,0.13530173206318538,348.9117353,762.2195447,178.7884686,u,Y,1,palikimus,R,2,three,74.69691392
M1A27,e1,0.05477522135630841,455.7571382,1113.560742,109.166174,e,N,1,senumo,R,1,three,70.69667293
M1A27,U2,0.06814839703777235,373.4508847,890.9140609,147.0131098,u,Y,1,senumo,R,1,three,76.9446413
