Filename,TextGridLabel,duration,f0_midpoint,F1_midpoint,F2_midpoint
M1A15,y4,0.069507982,112.6838685,296.6364889,1579.469613
M1A15,U5,0.054903028,155.8646256,434.3145751,815.1958406
M1A15,o6,0.108029792,94.62079621,526.819642,834.6229151
M1A15,fix2,0.792931046,100.2896641,407.9689741,1371.990009
M1A16,fix1,0.707098202,147.8425264,288.1915036,1610.619395
M1A16,a0,0.043605495,116.8796554,549.2131148,1367.072089
M1A16,e10,0.05825091,107.9139335,404.9687921,1509.154759
M1A16,i20,0.046680693,102.7620229,386.6384618,1088.82307
M1A16,U30,0.115187806,130.4828836,442.6343479,988.3406162
M1A16,a00,0.036530903,133.786153,408.4157174,1085.192829
M1A16,e40,0.043656639,102.0161375,393.9933521,1483.49239
M1A16,I50,0.058184887,169.6062497,372.5396171,1349.873105
M1A16,u60,0.073559046,103.6746903,427.1187179,1149.37105
M1A16,fix2,0.685858949,101.3663029,356.07105,1359.372247
M1A17,fix1,0.749108603,--undefined--,426.3700139,1895.748729
M1A17,a0,0.048584656,--undefined--,507.5274807,971.2243729
M1A17,a10,0.048567868,115.0680848,455.4149024,997.8632618
M1A17,U20,0.04504122,185.5940155,368.3183624,983.171202
M1A17,o30,0.083067235,96.34330007,506.428237,991.1523163
M1A17,a00,0.042033614,102.2701149,444.4942943,850.2465347
M1A17,a40,0.044010451,100.5878898,483.1021085,989.7567557
M1A17,U50,0.062065229,221.683845,416.5431801,953.3039974
M1A17,o60,0.108551133,100.9179658,527.2054149,1071.376218
M1A17,fix2,0.653296914,120.6056675,421.8403118,1306.305599
M1A18,fix1,0.575010016,160.2704051,1116.46435,2610.527078
M1A18,a1,0.082624964,116.1109568,509.1630007,1169.755421
M1A18,u2,0.036889111,136.6925222,404.0731914,1082.004084
M1A18,U3,0.088087938,110.548068,466.2321358,1162.991825
M1A18,a4,0.044349189,103.5320875,458.1525151,1036.512675
M1A18,u5,0.03424454,103.2853273,522.0393339,1868.00851
M1A18,U6,0.056926433,138.5449112,411.538062,1179.982005
M1A18,fix2,0.694971372,102.4277372,398.2757535,1416.475026
M1A19,fix1,0.594546992,131.3074036,356.4655521,1661.029009
M1A19,a1,0.050816201,--undefined--,631.7404811,1285.213312
M1A19,E2,0.097880499,82.29443651,627.0439194,1639.7198
M1A19,a3,0.071395933,--undefined--,440.8478901,1219.78076
M1A19,a4,0.048571265,--undefined--,255.8380479,1476.973523
M1A19,E5,0.091086293,176.5309538,548.3027907,1599.405453
M1A19,a6,0.079336785,93.3011498,446.0742472,1268.605537
M1A19,fix2,0.63400305,113.3879085,366.7052854,1242.507528
M1A20,fix1,0.636727039,136.606311,306.1104465,1466.786984
M1A20,e1,0.094796696,100.3615456,377.7273586,1973.549657
M1A20,I2,0.064374022,130.186276,362.1807098,1719.712995
M1A20,o3,0.098167628,84.65356227,459.8479992,876.9391792
M1A20,e4,0.083656825,94.88459167,387.8284981,1837.303269
M1A20,I5,0.064843133,180.1437749,373.1356451,1683.761502
M1A20,o6,0.155961544,94.82369164,456.9103164,936.7400333
M1A20,fix2,0.647026695,114.3854003,411.8678869,1409.950378
M1A22,fix1,0.70517242,--undefined--,1182.044157,2216.165346
M1A22,e1,0.0710245,107.7650727,398.1263011,1530.116791
M1A22,u2,0.046601062,124.2969547,359.0814917,1293.718469
M1A22,U3,0.096603875,110.821064,480.8575191,1100.184806
M1A22,e4,0.072386456,98.89180309,387.0686121,1601.245759
M1A22,u5,0.054613413,96.438598,368.2053734,1457.821225
M1A22,U6,0.089957967,192.3351125,455.1098464,796.4165976
M1A22,fix2,0.656165314,108.5118633,269.0182998,1615.133558
M1A23,fix1,0.70276488,138.6536163,123.2436766,1747.892356
M1A23,y1,0.051162278,114.3427166,276.2936999,2121.425362
M1A23,U2,0.068438127,165.4907657,495.1826076,1728.603697
M1A23,o3,0.082609955,--undefined--,634.5085653,1700.464808
M1A23,y4,0.051709271,100.717688,255.0733978,2023.114925
M1A23,U5,0.049659491,150.2782228,427.0974616,1420.147407
M1A23,o6,0.076841578,87.50430956,483.5878288,922.0178987
M1A23,fix2,1.014807325,--undefined--,1540.006569,2377.8556
M1A24,fix1,0.723263039,--undefined--,1844.596743,2713.574676
M1A24,a1,0.044658623,--undefined--,454.2186863,1187.372924
M1A24,u2,0.037459282,111.2832543,320.7393563,965.8594874
M1A24,U3,0.079297414,109.2957357,440.9672146,1099.985451
M1A24,a4,0.028052664,--undefined--,462.9830505,1245.511977
M1A24,u5,0.037474607,98.61919485,393.2803257,965.5643939
M1A24,U6,0.08796843,194.9614188,445.6705145,1363.032754
M1A24,fix2,0.651273668,121.0476311,405.3748233,1550.202702
M1A25,fix1,0.719509175,--undefined--,1451.170396,2319.604615
M1A25,e1,0.062147798,102.0287828,391.2162573,1663.080007
