Filename,TextGridLabel,Intensity
M1A58,u5,74.8218921
M1A58,U6,78.01759455
M1A58,fix2,75.50549016
M1A59,fix1,44.84926871
M1A59,a0,73.62916483
M1A59,e10,76.36927555
M1A59,I20,78.58938349
M1A59,a30,67.25407861
M1A59,a00,74.60734489
M1A59,e40,74.89262973
M1A59,I50,79.25849293
M1A59,a60,76.49555797
M1A59,fix2,69.82849956
M1A6,fix1,62.61892317
M1A6,a0,74.6870293
M1A6,i10,73.45939047
M1A6,i20,73.07580817
M1A6,U30,77.56971479
M1A6,a00,73.07926284
M1A6,i40,72.77934353
M1A6,i50,72.13745493
M1A6,U60,75.40674773
M1A6,fix2,65.26946272
M1A60,fix1,63.8903348
M1A60,y1,76.86700638
M1A60,u2,78.69535439
M1A60,U3,77.87739927
M1A60,y4,77.19459531
M1A60,u5,76.34240809
M1A60,U6,78.12928445
M1A60,fix2,73.87837609
M1A61,fix1,51.39993635
M1A61,y1,77.01722258
M1A61,I2,79.27215408
M1A61,o3,73.01820474
M1A61,y4,77.18634882
M1A61,I5,77.61452265
M1A61,o6,76.49302169
M1A61,fix2,69.80858974
M1A62,fix1,58.43792769
M1A62,a0,74.41341158
M1A62,o10,75.95878853
M1A62,u20,76.78994595
M1A62,U30,78.31975827
M1A62,a00,73.41310248
M1A62,o40,74.97169871
M1A62,u50,77.53138786
M1A62,U60,78.05617167
M1A62,fix2,73.08865044
M1A63,fix1,74.46886385
M1A63,u1,74.51861999
M1A63,i2,75.99624381
M1A63,U3,78.24597172
M1A63,u4,78.15010366
M1A63,i5,77.83658927
M1A63,U6,79.49744639
M1A63,fix2,68.60476157
M1A65,fix1,48.76531018
M1A65,a0,74.90326517
M1A65,o10,75.37628411
M1A65,U20,77.67510256
M1A65,o30,68.40542427
M1A65,a00,73.83958771
M1A65,o40,73.23281817
M1A65,U50,78.5572733
M1A65,o60,75.92538106
M1A65,fix2,74.55872742
M1A66,fix1,62.69454445
M1A66,a1,74.59079569
M1A66,u2,72.5184385
M1A66,U3,77.28110477
M1A66,a4,76.6741601
M1A66,u5,74.4467565
M1A66,U6,78.79063013
M1A66,fix2,74.99444363
M1A67,fix1,73.17041044
M1A67,a1,74.1753288
M1A67,U2,76.56811251
M1A67,o3,76.65494027
M1A67,a4,73.59429735
M1A67,U5,78.94706793
M1A67,o6,75.70997242
M1A67,fix2,69.55239158
M1A68,fix1,36.5401652
M1A68,y1,73.41598772
M1A68,U2,75.86005925
M1A68,a3,71.6493586
M1A68,y4,73.44848927
M1A68,U5,77.09743191
M1A68,a6,75.62927044
M1A68,fix2,71.96963708
M1A69,fix1,51.52860853
M1A69,i1,78.24580595
M1A69,i2,77.24149813
M1A69,U3,80.094913
M1A69,i4,74.77888357
M1A69,i5,74.75578364
M1A69,U6,71.57779394
M1A69,fix2,58.89102815
